channel,importance
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.616090300691394820e-11
3.000000000000000000e+00,6.137022912081945056e-10
4.000000000000000000e+00,1.448481204300846306e-09
5.000000000000000000e+00,7.360750491351874254e-09
6.000000000000000000e+00,9.556021434061841666e-09
7.000000000000000000e+00,2.053073002700821823e-08
8.000000000000000000e+00,2.977316049720057715e-08
9.000000000000000000e+00,5.416907720205283562e-08
1.000000000000000000e+01,6.815651015676708648e-08
1.100000000000000000e+01,8.709974767992691367e-08
1.200000000000000000e+01,1.215839064332968605e-07
1.300000000000000000e+01,1.403364370682165566e-07
1.400000000000000000e+01,1.486357140878012944e-07
1.500000000000000000e+01,1.646031094950414246e-07
1.600000000000000000e+01,1.329098526022472112e-07
1.700000000000000000e+01,1.637663499195050937e-07
1.800000000000000000e+01,1.635797899161219723e-07
1.900000000000000000e+01,1.352802486407157894e-07
2.000000000000000000e+01,1.551410671910041073e-07
2.100000000000000000e+01,1.627906564837470157e-07
2.200000000000000000e+01,1.732164126303943379e-07
2.300000000000000000e+01,2.118399754615953543e-07
2.400000000000000000e+01,2.065237668417645894e-07
2.500000000000000000e+01,2.372451708196327673e-07
2.600000000000000000e+01,2.372587071780845907e-07
2.700000000000000000e+01,3.008840413418677114e-07
2.800000000000000000e+01,2.981950336536040187e-07
2.900000000000000000e+01,2.925356657205447717e-07
3.000000000000000000e+01,3.181758088691219731e-07
3.100000000000000000e+01,3.132071701222919580e-07
3.200000000000000000e+01,3.419412370362869880e-07
3.300000000000000000e+01,3.164570945187668204e-07
3.400000000000000000e+01,3.281754841582579890e-07
3.500000000000000000e+01,3.375348928843870373e-07
3.600000000000000000e+01,2.902767966926593930e-07
3.700000000000000000e+01,3.587664713826713662e-07
3.800000000000000000e+01,3.202488648621481782e-07
3.900000000000000000e+01,2.946116406280470137e-07
4.000000000000000000e+01,3.078202144449644016e-07
4.100000000000000000e+01,3.582194320001156118e-07
4.200000000000000000e+01,2.935049849392901363e-07
4.300000000000000000e+01,3.084522169322093405e-07
4.400000000000000000e+01,3.324470356286196588e-07
4.500000000000000000e+01,2.871504214028416887e-07
4.600000000000000000e+01,3.378605094686766996e-07
4.700000000000000000e+01,3.053542878098567817e-07
4.800000000000000000e+01,3.620427193515007741e-07
4.900000000000000000e+01,3.423741189971530435e-07
5.000000000000000000e+01,3.572050686785305223e-07
5.100000000000000000e+01,3.877963702309244013e-07
5.200000000000000000e+01,3.356789126843882444e-07
5.300000000000000000e+01,3.751445622478865623e-07
5.400000000000000000e+01,3.159133832802850726e-07
5.500000000000000000e+01,3.574298321533021814e-07
5.600000000000000000e+01,3.673997463998631310e-07
5.700000000000000000e+01,3.729106912352068490e-07
5.800000000000000000e+01,3.602359884964341585e-07
5.900000000000000000e+01,3.284606979365001719e-07
6.000000000000000000e+01,3.661352939486298840e-07
6.100000000000000000e+01,3.116407088058867641e-07
6.200000000000000000e+01,3.585628931899863286e-07
6.300000000000000000e+01,3.538642660026720550e-07
6.400000000000000000e+01,3.624595240394097943e-07
6.500000000000000000e+01,4.234317310970029076e-07
6.600000000000000000e+01,3.588120402074857596e-07
6.700000000000000000e+01,3.630471390911697126e-07
6.800000000000000000e+01,3.694390079272289704e-07
6.900000000000000000e+01,4.224385309099719727e-07
7.000000000000000000e+01,3.825136675307100445e-07
7.100000000000000000e+01,4.041994833906260357e-07
7.200000000000000000e+01,4.192812096999203424e-07
7.300000000000000000e+01,4.208922495691849228e-07
7.400000000000000000e+01,3.530676378471495488e-07
7.500000000000000000e+01,3.990281943551231229e-07
7.600000000000000000e+01,3.950012255885831575e-07
7.700000000000000000e+01,4.206458872317885615e-07
7.800000000000000000e+01,4.065437957079681250e-07
7.900000000000000000e+01,4.068333155883368614e-07
8.000000000000000000e+01,3.667538321832386928e-07
8.100000000000000000e+01,3.903109703977735315e-07
8.200000000000000000e+01,4.001169435308308766e-07
